clusterhead_1,clusterhead_2,distance
13,15,172.546638
13,17,335.964212
13,19,472.043979
13,22,106.100780
13,24,136.317925
13,26,275.613048
13,38,442.495254
13,42,221.839625
13,44,262.340439
13,47,410.612303
13,49,565.191302
13,56,426.497637
13,58,512.665128
13,60,397.208880
13,62,369.823581
13,65,449.457383
13,73,451.270955
13,76,527.134112
13,78,650.619498
13,84,533.309785
13,86,594.640514
13,90,622.769620
13,92,624.024992
13,94,647.803256
13,96,691.542767
13,97,715.832063
15,17,166.165607
15,19,304.108630
15,22,209.862733
15,24,102.761747
15,26,104.042213
15,38,272.728730
15,42,279.571812
15,44,221.667009
15,47,258.388915
15,49,401.074661
15,56,305.376423
15,58,366.218795
15,60,467.656132
15,62,392.369465
15,65,374.739929
15,73,435.475059
15,76,424.887099
15,78,515.727382
15,84,478.797591
15,86,501.208875
15,90,647.924160
15,92,618.212202
15,94,595.799677
15,96,608.433005
15,97,605.581340
17,19,138.164256
17,22,372.576184
17,24,255.426533
17,26,83.574282
17,38,147.605130
17,42,423.185263
17,44,323.365200
17,47,199.937283
17,49,284.149306
17,56,295.353601
17,58,297.707820
17,60,602.709528
17,62,506.134052
17,65,410.907830
17,73,517.921548
17,76,420.454836
17,78,452.617873
17,84,522.346654
17,86,499.283929
17,90,746.423189
17,92,694.509290
17,94,631.888857
17,96,610.073865
17,97,573.200758
19,22,510.450087
19,24,392.277975
19,26,216.090608
19,38,151.164117
19,42,555.309802
19,44,443.664437
19,47,252.926875
19,49,247.570347
19,56,360.990368
19,58,314.786902
19,60,729.106059
19,62,624.258994
19,65,492.245959
19,73,619.682525
19,76,473.725010
19,78,453.329899
19,84,600.869286
19,86,547.811302
19,90,851.338748
19,92,787.138599
19,94,700.391336
19,96,654.666752
19,97,592.448768
22,24,120.777738
22,26,297.025577
22,38,448.984388
22,42,116.617106
22,44,190.033972
22,47,392.858151
22,49,556.047844
22,56,381.556024
22,58,483.644895
22,60,292.663550
22,62,266.146714
22,65,375.600173
22,73,354.303369
22,76,464.556468
22,78,606.606224
22,84,447.125177
22,86,524.726787
22,90,517.001701
22,92,522.042085
22,94,558.132848
22,96,614.054389
22,97,652.676532
24,26,177.165363
24,38,329.158037
24,42,176.812910
24,44,142.629280
24,47,280.973848
24,49,441.186173
24,56,290.180085
24,58,379.243664
24,60,365.159254
24,62,296.009099
24,65,321.941813
24,73,352.334240
24,76,393.138594
24,78,514.535391
24,84,415.072983
24,86,463.087846
24,90,553.829140
24,92,533.588771
24,94,531.951397
24,96,563.641187
24,97,581.233393
26,38,168.950481
26,42,340.431855
26,44,240.956067
26,47,171.238571
26,49,299.852318
26,56,244.982569
26,58,279.276864
26,60,519.137750
26,62,423.615560
26,65,345.422674
26,73,440.764198
26,76,371.051990
26,78,433.730145
26,84,456.064183
26,86,450.077005
26,90,667.032118
26,92,619.940668
26,94,569.198149
26,96,560.582393
26,97,539.083650
38,42,464.104350
38,44,334.325446
38,47,106.499898
38,49,137.012390
38,56,213.517450
38,58,167.154259
38,60,620.227807
38,62,504.914532
38,65,347.528428
38,73,484.295793
38,76,322.670215
38,78,315.265149
38,84,453.677253
38,86,396.704620
38,90,715.492203
38,92,644.196982
38,94,550.253501
38,96,504.025883
38,97,447.401686
42,44,140.945067
42,47,385.333442
42,49,548.571312
42,56,342.205747
42,58,456.892896
42,60,189.230645
42,62,150.114867
42,65,298.014608
42,73,245.189597
42,76,397.527666
42,78,557.107905
42,84,350.086009
42,86,446.275500
42,90,401.005752
42,92,406.659859
42,94,455.039303
42,96,524.459067
42,97,579.349392
44,47,247.457364
44,49,409.042642
44,56,202.624188
44,58,316.028144
44,60,287.201867
44,62,182.769684
44,65,187.961833
44,73,213.974204
44,76,274.583937
44,78,422.690161
44,84,273.446122
44,86,335.760109
44,90,429.900476
44,92,396.664980
44,94,389.861874
44,96,429.502275
44,97,462.664470
47,49,164.515768
47,56,108.094851
47,58,108.595085
47,60,526.798085
47,62,406.873652
47,65,241.148729
47,73,379.055624
47,76,225.290895
47,78,262.497542
47,84,348.262257
47,86,302.734371
47,90,609.725303
47,92,537.729288
47,94,448.118869
47,96,412.802489
47,97,373.968527
49,56,228.939597
49,58,118.611378
49,60,679.868876
49,62,555.305349
49,65,354.766201
49,73,507.424991
49,76,290.749589
49,78,212.906585
49,84,443.043803
49,86,348.510609
49,90,728.984085
49,92,641.388092
49,94,517.678388
49,96,442.735152
49,97,359.069486
56,58,118.845274
56,60,453.531266
56,62,327.432643
56,65,135.051011
56,73,281.255843
56,76,126.342691
56,78,225.673521
56,84,240.276412
56,86,205.515235
56,90,508.574387
56,92,431.662567
56,94,341.026004
56,96,316.334230
56,97,300.212038
58,60,572.049628
58,62,445.393179
58,65,236.983588
58,73,390.625023
58,76,174.725646
58,78,155.709436
58,84,324.889772
58,86,239.507326
58,90,610.493936
58,92,523.083742
58,94,404.382201
58,96,342.002815
58,97,280.376718
60,62,128.142710
60,65,355.786104
60,73,222.014921
60,76,458.729029
60,78,633.045194
60,84,347.320238
60,86,478.119762
60,90,250.408478
60,92,301.582512
60,94,415.453106
60,96,520.901869
60,97,610.059145
62,65,228.296572
62,73,111.360672
62,76,331.992382
62,78,505.774118
62,84,234.532737
62,86,357.215949
62,90,258.292329
62,92,256.663744
62,94,322.929492
62,96,412.689465
62,97,491.130420
65,73,154.544913
65,76,104.544798
65,78,277.481647
65,84,111.438829
65,86,149.617878
65,90,375.268829
65,92,296.778937
65,94,224.106528
65,96,242.214185
65,97,281.396025
73,76,247.889301
73,78,421.760645
73,84,125.826117
73,86,257.033309
73,90,231.772249
73,92,182.737619
73,94,212.828271
73,96,302.562458
73,97,388.093417
76,78,174.708575
76,84,155.410487
76,86,79.178067
76,90,448.043475
76,92,353.105078
76,94,230.416855
76,96,190.043252
76,97,188.960665
78,84,317.031122
78,86,185.533905
78,90,608.362523
78,92,504.270928
78,94,351.930700
78,96,249.798834
78,97,148.138535
84,86,138.023655
84,90,293.505379
84,92,198.418973
84,94,117.322703
84,96,178.431700
84,97,264.090419
86,90,423.954380
86,92,318.748241
86,94,171.567857
86,96,110.897586
86,97,134.697468
90,92,113.828472
90,94,282.278983
90,96,409.847342
90,97,528.330712
92,94,168.750902
92,96,296.428500
92,97,416.275026
94,96,127.684190
94,97,249.091246
96,97,124.835616
