node_id,final_role,initial_energy,remaining_energy,total_consumed,energy_tx,energy_rx,energy_idle,energy_sleep,time_tx,time_rx,time_idle,time_sleep,packets_sent,packets_received,packets_lost,bytes_sent,bytes_received,is_alive,death_time
0,REGISTERED,10000,7123.983439168889,2876.016560831111,1470.5,1405.5,0.016185625109020337,0.000375206062939869,0.05882000000000019,0.11244000000000062,1618.562510902037,375.2060629398693,237,448,22,14705,28110,True,
1,REGISTERED,10000,6358.733254445344,3641.266745554656,1453.0,2188.25,0.01639087360275187,0.00035468112894819037,0.058120000000000185,0.1750600000000009,1639.0873602751917,354.6811289481895,233,696,26,14530,43765,True,
2,REGISTERED,10000,5066.732950006894,4933.267049993106,1490.0,3443.25,0.01672928090091419,0.000320712328110715,0.059600000000000215,0.27546000000000165,1672.9280900914212,320.71232811071496,236,1067,13,14900,68865,True,
3,ROUTER,10000,5989.4831692937905,4010.5168307062095,2043.0,1967.5,0.01648562855186336,0.0003450776333724473,0.0817200000000004,0.15740000000000082,1648.562855186319,345.0776333724482,315,628,42,20430,39350,True,
4,CLUSTER_HEAD,10000,6428.732997901147,3571.2670020988526,1255.5,2315.75,0.016676065042332607,0.00032603392980122493,0.05022000000000022,0.1852600000000009,1667.6065042332636,326.0339298012242,212,736,21,12555,46315,True,
5,REGISTERED,10000,7162.233224453343,2837.7667755466573,1212.0,1625.75,0.01642456628455456,0.0003509804137089834,0.0484800000000002,0.13006000000000065,1642.4566284554592,350.980413708984,206,517,27,12120,32515,True,
6,REGISTERED,10000,6873.733260399933,3126.266739600067,1381.5,1744.75,0.016385631952673587,0.00035396825894458395,0.05526000000000017,0.13958000000000084,1638.5631952673625,353.9682589445833,220,545,34,13815,34895,True,
7,CLUSTER_HEAD,10000,5427.233259399607,4572.766740600393,1458.0,3114.75,0.016385631964596213,0.0003549683401127727,0.0583200000000002,0.24918000000000137,1638.5631964596255,354.9683401127743,233,977,23,14580,62295,True,
8,ROUTER,10000,5386.983124293899,4613.016875706101,1439.5,3173.5,0.01653562696218179,0.00034007911628326884,0.057580000000000194,0.25388000000000144,1653.5626962181755,340.07911628326974,228,995,30,14395,63470,True,
9,REGISTERED,10000,5772.482719387902,4227.517280612098,2070.5,2157.0,0.016985630419689215,0.00029498179147988384,0.08282000000000041,0.17256000000000096,1698.5630419689262,294.98179147988316,318,679,31,20705,43140,True,
10,CLUSTER_HEAD,10000,6412.73294416829,3587.2670558317104,1424.5,2162.75,0.016735625860030343,0.00032020590976434573,0.056980000000000176,0.17302000000000092,1673.5625860030293,320.20590976434585,227,685,28,14245,43255,True,
11,CLUSTER_HEAD,10000,5388.98295109772,4611.01704890228,1471.0,3140.0,0.01672928092967166,0.000319621270464544,0.0588400000000002,0.2512000000000014,1672.9280929671554,319.6212704645437,233,981,24,14710,62800,True,
12,REGISTERED,10000,3662.9824050025104,6337.017594997489,2060.0,4277.0,0.01733563275812918,0.00025936491078458907,0.0824000000000004,0.34216000000000246,1733.5632758129173,259.36491078458874,313,1338,34,20600,85540,True,
13,CLUSTER_HEAD,10000,4247.482405002155,5752.517594997845,1453.0,4299.5,0.01733563278777764,0.0002593649256310163,0.05812000000000019,0.3439600000000021,1733.5632787777643,259.36492563101626,228,1336,22,14530,85990,True,
14,ROUTER,10000,6319.982592932098,3680.0174070679022,1631.0,2049.0,0.017126067678487098,0.0002810001780717776,0.06524000000000026,0.16392000000000076,1712.606767848703,281.0001780717779,261,655,26,16310,40980,True,
15,REGISTERED,10000,4745.982955167345,5254.017044832655,2249.0,3005.0,0.016724568925562656,0.00032026371542695156,0.08996000000000047,0.2404000000000012,1672.456892556272,320.2637154269522,351,951,37,22490,60100,True,
16,REGISTERED,10000,4020.232989397341,5979.767010602659,2064.0,3915.75,0.016685634542440608,0.00032496801736650127,0.08256000000000041,0.31326000000000204,1668.5634542440623,324.9680173665015,318,1233,35,20640,78315,True,
17,REGISTERED,10000,4041.7327192311263,5958.267280768874,1406.5,4551.75,0.0169856298117419,0.00029513916077898765,0.05626000000000018,0.36414000000000285,1698.5629811742056,295.1391607789874,222,1430,29,14065,91035,True,
18,CLUSTER_HEAD,10000,4692.982719230426,5307.017280769574,1478.5,3828.5,0.016985630515165016,0.00029513911299328035,0.05914000000000021,0.306280000000002,1698.5630515164912,295.1391129932805,234,1196,22,14785,76570,True,
19,ROUTER,10000,5385.73244922866,4614.26755077134,1446.0,3168.25,0.01728563248804534,0.0002651388923390435,0.05784000000000019,0.2534600000000014,1728.5632488045385,265.1388923390429,226,987,23,14460,63365,True,
20,REGISTERED,10000,5832.482584175801,4167.517415824199,1428.0,2739.5,0.017135628364294792,0.00028019580597110047,0.057120000000000185,0.21916000000000127,1713.5628364294835,280.19580597110007,223,855,21,14280,54790,True,
21,ROUTER,10000,4109.482585096416,5890.517414903584,1403.0,4487.5,0.01713562825035516,0.00027927553044708106,0.05612000000000018,0.3590000000000025,1713.5628250355073,279.27553044708065,219,1389,24,14030,89750,True,
22,CLUSTER_HEAD,10000,4778.982134311941,5221.017865688059,1402.0,3819.0,0.017635635329553784,0.00023005273008653416,0.05608000000000017,0.3055200000000019,1763.5635329553613,230.05273008653486,218,1175,25,14020,76380,True,
23,ROUTER,10000,4723.482134899787,5276.517865100213,1452.5,3824.0,0.017635635206188698,0.0002294648490491036,0.058100000000000186,0.3059200000000019,1763.5635206188833,229.46484904910383,225,1175,19,14525,76480,True,
24,CLUSTER_HEAD,10000,5404.732314320685,4595.267685679315,1451.0,3144.25,0.017435635898214973,0.0002500432670630942,0.05804000000000019,0.25154000000000143,1743.5635898214978,250.04326706309408,226,978,29,14510,62885,True,
25,ROUTER,10000,4424.232585329617,5575.767414670383,1365.0,4210.75,0.017135637939141204,0.00027903234665589395,0.05460000000000016,0.33686000000000205,1713.563793914131,279.0323466558941,214,1303,32,13650,84215,True,
26,CLUSTER_HEAD,10000,3380.7325852140357,6619.267414785964,1413.5,5205.75,0.017135638027439972,0.0002791480254654839,0.05654000000000018,0.41646000000000305,1713.5638027440168,279.1480254654831,221,1613,27,14135,104115,True,
27,REGISTERED,10000,5869.482584223748,4130.517415776252,1385.5,2745.0,0.017135637897402616,0.00028013837307941803,0.05542000000000017,0.21960000000000127,1713.5637897402532,280.1383730794173,218,857,23,13855,54900,True,
28,ROUTER,10000,5066.482449228648,4933.517550771352,1374.5,3559.0,0.017285632325764664,0.0002651390040908232,0.05498000000000017,0.28472000000000175,1728.5632325764727,265.1390040908233,216,1117,32,13745,71180,True,
29,CLUSTER_HEAD,10000,5759.732179396829,4240.267820603171,1474.0,2766.25,0.017585636398826068,0.00023496680510189352,0.0589600000000002,0.2213000000000013,1758.5636398826155,234.96680510189347,230,859,18,14740,55325,True,
30,ROUTER,10000,5203.732179173626,4796.267820826374,1361.0,3435.25,0.017585630773032348,0.00023519565267992597,0.05444000000000016,0.2748200000000016,1758.5630773032415,235.19565267992556,211,1065,29,13610,68705,True,
31,CLUSTER_HEAD,10000,5163.732134169704,4836.267865830296,1385.0,3451.25,0.017635635206780294,0.00023019516325225922,0.05540000000000017,0.2761000000000016,1763.5635206780328,230.19516325226016,215,1069,23,13850,69025,True,
32,ROUTER,10000,4392.7316392409975,5607.2683607590025,1404.0,4203.25,0.01818563768244538,0.0001751211173541105,0.056160000000000175,0.3362600000000021,1818.5637682445367,175.12111735411068,215,1291,24,14040,84065,True,
33,CLUSTER_HEAD,10000,5816.981639897385,4183.018360102615,1431.0,2752.0,0.01818563793135633,0.00017446458877901357,0.05724000000000019,0.22016000000000144,1818.5637931356255,174.46458877901318,219,842,17,14310,55040,True,
34,ROUTER,10000,5581.731639642889,4418.268360357111,1319.5,3098.75,0.018185637511855285,0.0001747195286036646,0.052780000000000146,0.24790000000000162,1818.5637511855368,174.71952860366488,203,947,32,13195,61975,True,
35,REGISTERED,10000,4562.482314644755,5437.517685355245,2006.5,3431.0,0.01743563545501689,0.00024971964115413507,0.08026000000000039,0.2744800000000016,1743.5635455016936,249.71964115413564,306,1065,38,20065,68620,True,
36,REGISTERED,10000,4870.98218010941,5129.01781989059,1410.0,3719.0,0.017585640074508205,0.00023425040940119432,0.05640000000000018,0.2975200000000018,1758.5640074508253,234.2504094011945,218,1149,24,14100,74380,True,
37,CLUSTER_HEAD,10000,6252.731504106928,3747.268495893072,1361.5,2385.75,0.01833564289401437,0.00016025019332074336,0.05446000000000016,0.1908600000000013,1833.5642894014397,160.25019332074336,207,720,22,13615,47715,True,
38,ROUTER,10000,4914.481908933321,5085.518091066679,1355.0,3730.5,0.017885638760674026,0.00020542792834001063,0.05420000000000016,0.298440000000002,1788.5638760674162,205.42792834001065,208,1137,30,13550,74610,True,
39,REGISTERED,10000,6214.732178935164,3785.2678210648364,1383.5,2401.75,0.017585636646905073,0.00023542820768628048,0.055340000000000174,0.1921400000000013,1758.563664690511,235.42820768628053,214,733,21,13835,48035,True,
40,CLUSTER_HEAD,10000,6605.48217966438,3394.51782033562,1375.0,2019.5,0.017585631208622377,0.0002347044843763351,0.05500000000000017,0.16156000000000104,1758.5631208622408,234.70448437633547,213,624,26,13750,40390,True,
41,ROUTER,10000,4532.2319096623205,5467.7680903376795,1357.5,4110.25,0.017885633501152038,0.00020470425076156345,0.05430000000000016,0.3288200000000021,1788.5633501152106,204.7042507615629,209,1267,31,13575,82205,True,
42,CLUSTER_HEAD,10000,5105.231639241041,4894.768360758959,1464.5,3430.25,0.01818563770113985,0.00017512119173034526,0.058580000000000194,0.2744200000000018,1818.5637701139735,175.12119173034534,225,1050,19,14645,68605,True,
43,ROUTER,10000,5167.481369238891,4832.518630761109,1389.5,3443.0,0.018485640218956132,0.0001451208614759641,0.05558000000000017,0.2754400000000018,1848.564021895608,145.12086147596412,210,1049,23,13895,68860,True,
44,CLUSTER_HEAD,10000,7153.231100230761,2846.7688997692394,1352.0,1494.75,0.018785643621578675,0.00011412557782013403,0.05408000000000016,0.11958000000000062,1878.5643621578654,114.12557782013408,202,456,21,13520,29895,True,
45,REGISTERED,10000,5845.981099316126,4154.018900683874,1903.5,2250.5,0.01878564658750207,0.00011503741094224511,0.07614000000000036,0.18004000000000128,1878.564658750201,115.03741094224509,280,662,38,19035,45010,True,
46,REGISTERED,10000,4354.981235105127,5645.018764894873,2046.5,3598.5,0.018635645094983323,0.00012924990393561818,0.0818600000000004,0.2878800000000021,1863.5645094983422,129.24990393561822,304,1075,29,20465,71970,True,
47,ROUTER,10000,4964.981504274365,5035.018495725635,1360.5,3674.5,0.018335642963835833,0.00016008264572993418,0.05442000000000016,0.29396000000000205,1833.5642963835887,160.08264572993414,206,1109,20,13605,73490,True,
48,CLUSTER_HEAD,10000,4961.231503972023,5038.768496027977,1302.0,3736.75,0.01833564274389978,0.00016038509841660083,0.05208000000000014,0.298940000000002,1833.5642743899841,160.38509841660075,198,1135,36,13020,74735,True,
49,REGISTERED,10000,4585.731908933401,5414.268091066599,2040.5,3373.75,0.017885638746432852,0.00020542792522691252,0.0816200000000004,0.2699000000000017,1788.5638746432692,205.42792522691255,307,1035,29,20405,67475,True,
50,REGISTERED,10000,5272.982178991192,4727.017821008808,1365.5,3361.5,0.01758563150600054,0.00023537731924019867,0.05462000000000016,0.2689200000000017,1758.563150600057,235.37731924019863,212,1032,25,13655,67230,True,
51,REGISTERED,10000,5232.481909244763,4767.518090755237,1399.0,3368.5,0.017885633710694872,0.00020512152198472617,0.055960000000000176,0.2694800000000017,1788.5633710694888,205.1215219847266,215,1032,21,13990,67370,True,
52,ROUTER,10000,4603.981909444604,5396.018090555396,1339.0,4057.0,0.017885633893785977,0.0002049216340361464,0.053560000000000156,0.3245600000000022,1788.5633893786,204.92163403614646,206,1229,29,13390,81140,True,
53,CLUSTER_HEAD,10000,5403.730965419304,4596.269034580696,1074.5,3521.75,0.018935643187654644,9.893751915626331e-05,0.04298000000000006,0.28174000000000177,1893.5643187654657,98.93751915626324,174,1063,17,10745,70435,True,
54,ROUTER,10000,4813.73083035291,5186.26916964709,1629.0,3557.25,0.019085645426739975,8.40016376729611e-05,0.06516000000000023,0.2845800000000018,1908.5645426739925,84.00163767296118,251,1069,22,16290,71145,True,
55,ROUTER,10000,5056.730425020444,4943.269574979556,1253.0,3690.25,0.01953564851962391,3.933112774060047e-05,0.05012000000000013,0.2952200000000021,1953.5648519623765,39.33112774060048,183,1092,24,12530,73805,True,
56,CLUSTER_HEAD,10000,4128.480424020403,5871.519575979597,1301.5,4570.0,0.019535648472161465,4.0331127740600484e-05,0.05206000000000015,0.3656000000000028,1953.5648472161192,40.331127740600486,193,1348,25,13015,91400,True,
57,ROUTER,10000,5649.98123397011,4350.01876602989,1390.0,2960.0,0.01863564511301037,0.0001303847717978027,0.05560000000000017,0.23680000000000173,1863.5645113010328,130.38477179780276,211,885,23,13900,59200,True,
58,REGISTERED,10000,4925.731908975971,5074.268091024029,1362.0,3712.25,0.017885638723219636,0.00020538542503539914,0.05448000000000016,0.29698000000000196,1788.5638723219697,205.38542503539875,209,1130,25,13620,74245,True,
59,REGISTERED,10000,5537.732179275324,4462.267820724676,1406.0,3056.25,0.017585640122040773,0.00023508452797616202,0.05624000000000018,0.24450000000000166,1758.5640122040804,235.08452797616195,217,930,19,14060,61125,True,
60,REGISTERED,10000,5969.232313984227,4030.7676860157726,1387.0,2643.75,0.017435639065146176,0.00025037661929184574,0.05548000000000017,0.2115000000000014,1743.5639065146017,250.37661929184594,216,807,28,13870,52875,True,
61,CLUSTER_HEAD,10000,3363.480963981514,6636.519036018486,1337.5,5299.0,0.018935642225636706,0.00010037621991462238,0.05350000000000015,0.42392000000000296,1893.564222563679,100.37621991462223,203,1604,23,13375,105980,True,
62,REGISTERED,10000,4296.480964436314,5703.519035563686,1969.5,3734.0,0.018935642879725795,9.992082810741121e-05,0.07878000000000038,0.298720000000002,1893.564287972595,99.9208281074112,292,1123,24,19695,74680,True,
63,ROUTER,10000,4166.730695425307,5833.269304574693,2230.0,3603.25,0.019235645280995525,6.892938244543981e-05,0.08920000000000045,0.2882600000000018,1923.5645280995527,68.92938244543977,336,1085,42,22300,72065,True,
64,CLUSTER_HEAD,10000,4798.480424020209,5201.519575979791,1306.5,3895.0,0.019535648692946977,4.03311259242011e-05,0.052260000000000154,0.3116000000000021,1953.564869294691,40.3311259242011,192,1159,25,13065,77900,True,
65,ROUTER,10000,4739.980153914529,5260.019846085471,1426.0,3834.0,0.019835650680458658,1.0434867840791878e-05,0.05704000000000019,0.3067200000000024,1983.5650680458696,10.434867840791883,209,1120,18,14260,76680,True,
66,ROUTER,10000,5406.980424020402,4593.019575979598,1247.0,3346.0,0.019535648501420342,4.033112774060048e-05,0.049880000000000126,0.2676800000000019,1953.5648501420503,40.33112774060048,183,999,26,12470,66920,True,
67,REGISTERED,10000,5205.981370136381,4794.018629863619,1395.0,3399.0,0.018485645876372327,0.00014421760547058117,0.055800000000000176,0.2719200000000018,1848.564587637236,144.2176054705815,211,1027,19,13950,67980,True,
68,CLUSTER_HEAD,10000,5137.981774490218,4862.018225509782,1374.0,3488.0,0.01803564389908891,0.0001898657740367656,0.05496000000000016,0.2790400000000018,1803.564389908897,189.8657740367656,210,1067,25,13740,69760,True,
69,REGISTERED,10000,6554.2321795484195,3445.7678204515805,1391.0,2054.75,0.017585640614505287,0.00023481103760347442,0.055640000000000175,0.16438000000000108,1758.5640614505292,234.81103760347423,214,630,22,13910,41095,True,
70,CLUSTER_HEAD,10000,5541.982449614445,4458.017550385555,1428.5,3029.5,0.017285640239756473,0.0002647451276631809,0.05714000000000019,0.24236000000000155,1728.56402397565,264.7451276631808,223,931,26,14285,60590,True,
71,ROUTER,10000,4666.9809639814575,5333.0190360185425,1350.0,3983.0,0.018935642363513895,0.00010037620817882517,0.05400000000000016,0.3186400000000021,1893.5642363513923,100.37620817882515,204,1210,17,13500,79660,True,
72,REGISTERED,10000,4483.480694827229,5516.519305172771,1933.5,3583.0,0.01923564514584417,6.952768642965495e-05,0.07734000000000035,0.2866400000000021,1923.5645145844003,69.52768642965493,285,1064,48,19335,71660,True,
73,CLUSTER_HEAD,10000,5285.980424046722,4714.019575953278,1330.5,3383.5,0.01953564880763248,4.030439204668186e-05,0.053220000000000156,0.27068000000000186,1953.5648807632524,40.30439204668186,195,999,21,13305,67670,True,
74,ROUTER,10000,4626.480154679673,5373.519845320327,1345.0,4028.5,0.019835650738895427,9.669546677898122e-06,0.05380000000000016,0.3222800000000025,1983.5650738895247,9.669546677898117,196,1175,19,13450,80570,True,
75,ROOT,10000,5835.480147888496,4164.519852111504,1398.0,2766.5,0.01984234604995892,9.765395004111509e-06,0.05592000000000018,0.22132000000000165,1984.2346049958885,9.765395004111511,206,809,28,13980,55330,True,
76,ROUTER,10000,5346.731369992543,4653.268630007457,1365.0,3288.25,0.018485645830350374,0.00014436162281606087,0.05460000000000016,0.2630600000000019,1848.5645830350377,144.36162281606076,207,984,23,13650,65765,True,
77,CLUSTER_HEAD,10000,4115.981369136717,5884.018630863283,1435.0,4449.0,0.018485645641677196,0.00014521760547058147,0.05740000000000019,0.35592000000000235,1848.564564167715,145.21760547058147,220,1344,31,14350,88980,True,
78,ROUTER,10000,4055.2316394926665,5944.768360507333,1491.0,4453.75,0.018185641355639656,0.00017486611958550193,0.0596400000000002,0.3563000000000023,1818.5641355639523,174.86611958550188,228,1356,16,14910,89075,True,
79,REGISTERED,10000,6243.231909494502,3756.7680905054976,1362.5,2394.25,0.017885639353980274,0.00020486623207744263,0.05450000000000016,0.19154000000000126,1788.5639353980393,204.86623207744233,211,728,20,13625,47885,True,
80,ROUTER,10000,6135.982809291166,3864.0171907088343,1424.0,2440.0,0.016885636942933418,0.00030507187754252245,0.056960000000000184,0.19520000000000115,1688.5636942933545,305.0718775425229,225,760,26,14240,48800,True,
81,REGISTERED,10000,5943.232449570387,4056.767550429613,2003.0,2053.75,0.017285639940272456,0.00026478966750238526,0.08012000000000039,0.16430000000000103,1728.563994027258,264.7896675023852,305,635,38,20030,41075,True,
82,ROUTER,10000,4708.230829050119,5291.769170949881,1338.5,3953.25,0.019085645085245982,8.530481124051946e-05,0.05354000000000016,0.3162600000000024,1908.5645085246101,85.30481124051944,199,1166,18,13385,79065,True,
83,ROUTER,10000,5045.980424047875,4954.019575952125,1310.0,3644.0,0.019535647494741067,4.030461930405428e-05,0.05240000000000015,0.2915200000000022,1953.5647494741124,40.304619304054285,191,1071,21,13100,72880,True,
84,ROUTER,10000,5366.480153914806,4633.519846085194,1343.5,3290.0,0.01983565036306782,1.0434867840791887e-05,0.05374000000000016,0.263200000000002,1983.5650363067755,10.434867840791885,196,959,20,13435,65800,True,
85,ROUTER,10000,4716.480153914337,5283.519846085663,1418.5,3865.0,0.01983565079188188,1.0434867840791884e-05,0.056740000000000186,0.3092000000000024,1983.5650791882053,10.434867840791885,208,1128,20,14185,77300,True,
86,CLUSTER_HEAD,10000,6673.980424342052,3326.019575657948,1292.0,2034.0,0.01953564595701246,4.001193702964859e-05,0.05168000000000014,0.1627200000000011,1953.5645957012546,40.01193702964859,190,610,12,12920,40680,True,
87,ROUTER,10000,4201.9816394927475,5798.0183605072525,1376.0,4422.0,0.018185641157509928,0.00017486605436628088,0.055040000000000165,0.3537600000000024,1818.564115750994,174.8660543662811,211,1339,23,13760,88440,True,
88,REGISTERED,10000,3794.23163990172,6205.76836009828,2068.5,4137.25,0.01818564101678988,0.00017445717581090293,0.0827400000000004,0.33098000000000205,1818.564101679,174.45717581090315,312,1270,36,20685,82745,True,
89,CLUSTER_HEAD,10000,5601.731908984622,4398.268091015378,1331.5,3066.75,0.01788563837422253,0.0002053769789703217,0.05326000000000015,0.24534000000000156,1788.5638374222738,205.37697897032166,206,943,30,13315,61335,True,
90,CLUSTER_HEAD,10000,7806.23348429334,2193.7665157066604,1487.5,706.25,0.01613563463762588,0.0003800721905764288,0.059500000000000206,0.05650000000000018,1613.563463762593,380.0721905764281,239,223,24,14875,14125,True,
91,CLUSTER_HEAD,10000,6968.731234260926,3031.2687657390743,1375.5,1655.75,0.018635643171477576,0.00013009593164897096,0.055020000000000166,0.13246000000000083,1863.5643171477504,130.09593164897097,207,488,21,13755,33115,True,
92,REGISTERED,10000,5320.480829050405,4679.519170949595,2007.0,2672.5,0.019085644785953874,8.530481124051942e-05,0.08028000000000039,0.21380000000000157,1908.56447859539,85.30481124051944,295,792,24,20070,53450,True,
93,CLUSTER_HEAD,10000,6322.730830046133,3677.2691699538673,1371.5,2305.75,0.019085645108687894,8.43087778618608e-05,0.05486000000000017,0.18446000000000132,1908.5645108688025,84.30877786186078,204,677,16,13715,46115,True,
94,CLUSTER_HEAD,10000,6832.230424682368,3167.769575317632,1222.5,1945.25,0.01953564782684301,3.966985624641103e-05,0.048900000000000124,0.15562000000000106,1953.5647826843003,39.66985624641103,179,566,28,12225,38905,True,
95,ROUTER,10000,6830.2304243420795,3169.7695756579205,1231.5,1938.25,0.019535645911102687,4.001193702964859e-05,0.04926000000000012,0.15506000000000106,1953.5645911102727,40.01193702964859,180,571,26,12315,38765,True,
96,CLUSTER_HEAD,10000,8106.231370003537,1893.7686299964626,1297.5,596.25,0.018485643908131597,0.00014435263176828777,0.05190000000000014,0.0477000000000001,1848.5643908131653,144.35263176828784,195,173,31,12975,11925,True,
97,CLUSTER_HEAD,10000,7239.482313984301,2760.517686015699,1404.0,1356.5,0.017435638763168167,0.00025037695931821104,0.056160000000000175,0.10852000000000063,1743.5638763168163,250.37695931821102,220,416,28,14040,27130,True,
98,ROUTER,10000,5547.2319089847115,4452.7680910152885,1387.0,3065.75,0.0178856383015229,0.0002053770752035633,0.05548000000000017,0.2452600000000015,1788.5638301522888,205.37707520356338,214,946,22,13870,61315,True,
99,REGISTERED,10000,7256.2327189866955,2743.7672810133045,1417.5,1326.25,0.016985636095255326,0.0002953772146452134,0.05670000000000018,0.10610000000000061,1698.5636095255286,295.37721464521314,224,408,26,14175,26525,True,
